Profession,Condition,Category,Observed,Expected,Standardized residual,Abs standardized residual
Programmer,French_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Programmer,French_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Receptionist,Spanish_standard,M,5.0,3.290289256198347,0.9425526116578788,0.9425526116578788
Receptionist,Spanish_standard,F,240.0,241.70971074380165,-0.109970346001293,0.109970346001293
Receptionist,Spanish_limited,M,0.0,3.290289256198347,-1.8139154490213558,1.8139154490213558
Receptionist,Spanish_limited,F,245.0,241.70971074380165,0.21163477463088753,0.21163477463088753
Receptionist,French_standard,M,8.0,3.209710743801653,2.6737992098648466,2.6737992098648466
Receptionist,French_standard,F,231.0,235.79028925619835,-0.3119599061209218,0.3119599061209218
Receptionist,French_limited,M,0.0,3.209710743801653,-1.7915665613651237,1.7915665613651237
Receptionist,French_limited,F,239.0,235.79028925619835,0.2090272651105678,0.2090272651105678
Secretary,Spanish_standard,M,244.0,244.5,-0.03197647396955397,0.03197647396955397
Secretary,Spanish_standard,N,1.0,0.5,0.7071067811865475,0.7071067811865475
Secretary,Spanish_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Secretary,Spanish_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Secretary,French_standard,M,244.0,244.5,-0.03197647396955397,0.03197647396955397
Secretary,French_standard,N,1.0,0.5,0.7071067811865475,0.7071067811865475
Secretary,French_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Secretary,French_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Social worker,Spanish_standard,M,209.0,184.54403567447045,1.8002581485761222,1.8002581485761222
Social worker,Spanish_standard,F,12.0,38.70680044593088,-4.29267713013997,4.29267713013997
Social worker,Spanish_standard,N,3.0,0.7491638795986622,2.6004916336611275,2.6004916336611275
Social worker,Spanish_limited,M,70.0,171.36231884057972,-7.743171387983868,7.743171387983868
Social worker,Spanish_limited,F,138.0,35.94202898550725,17.02337377818976,17.02337377818976
