Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
Spanish,limited,Secretary,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Social worker,70,138,0,37,245,208,37,245,0.151020,0.336538,0.663462,0.000000,-0.326923,FALSE,0.500000,0.336516,0.661098,0.002387,-0.324582,0.892260,0.065496,-0.452952,-0.196213,-4.955767,0.000001,0.000568,TRUE,208,0.000003,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Teacher,219,26,0,0,245,245,0,245,0.000000,0.893878,0.106122,0.000000,0.787755,FALSE,0.500000,0.890467,0.107505,0.002028,0.782961,0.384943,0.039638,0.705272,0.860651,19.752644,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,standard,Cleaning assistant,234,11,0,0,245,245,0,245,0.000000,0.955102,0.044898,0.000000,0.910204,FALSE,0.500000,0.951318,0.046653,0.002028,0.904665,0.179552,0.027072,0.851606,0.957724,33.417621,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,standard,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,standard,Electrician,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.500000,0.987830,0.002028,0.010142,0.985801,0.018054,0.008584,0.968976,1.000000,114.838101,0.000000,0.000568,TRUE,243,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
