STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1746.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,1560.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,726.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,2287.0,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,620.6,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,108.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,728.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,114.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,376.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,491.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC6,"Skilled agricultural, forestry and fishery workers",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,100.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC6,"Skilled agricultural, forestry and fishery workers",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,383.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC6,"Skilled agricultural, forestry and fishery workers",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,483.7,,,,,
